field_domain_id,field_site_id,field_site_name,field_site_type,field_site_subtype,field_colocated_site,field_site_host,field_site_url,field_nonneon_research_allowed,field_access_details,field_neon_field_operations_office,field_latitude,field_longitude,field_geodetic_datum,field_utm_northing,field_utm_easting,field_utm_zone,field_site_county,field_site_state,field_site_country,field_mean_elevation_m,field_minimum_elevation_m,field_maximum_elevation_m,field_mean_annual_temperature_C,field_mean_annual_precipitation_mm,field_dominant_wind_direction,field_mean_canopy_height_m,field_dominant_nlcd_classes,field_domint_plant_species,field_usgs_huc,field_watershed_name,field_watershed_size_km2,field_lake_depth_mean_m,field_lake_depth_max_m,field_tower_height_m,field_usgs_geology_unit,field_megapit_soil_family,field_soil_subgroup,field_avg_number_of_green_days,field_avg_grean_increase_doy,field_avg_green_max_doy,field_avg_green_decrease_doy,field_avg_green_min_doy,field_phenocams,field_number_tower_levels,neon_url
D03,BARC,Lake Barco NEON,Core Aquatic,Lake,OSBS,University of Florida Foundation,https://ordway-swisher.ufl.edu/ResearchUse.aspx,Yes,This area is a very active research community and will required a site research permit.,Domain 03 Support Facility,29.675982,-82.008414,WGS84,3283362.548,402358.9734,17N,Putnam,FL,USA,27,,,20.9,1308,,,Shrub/Scrub,,[h03080103](https://water.usgs.gov/lookup/getwatershed?03080103),Lower St. Johns,31.3,3.3,6.7,,FLPOc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.BARC.DP1.20002),,https://www.neonscience.org/field-sites/barc
D13,COMO,Como Creek NEON,Core Aquatic,Wadeable Stream,NIWO,US Forest Service,https://cuboulder.qualtrics.com/jfe/form/SV_3O9QymZrswv5U6F,Yes,Reseachers should coordinate with the site manager and submit a site research permit.,Domain 10/13 Support Facility,40.034962,-105.54416,WGS84,4431779.634,453513.6657,13N,Boulder,CO,USA,3021,,,2,841,,,Shrub/Scrub,,[h10190005](https://water.usgs.gov/lookup/getwatershed?10190005),St. Vrain,3.6,,,,COXb;0|COQd;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D13.COMO.DP1.20002),,https://www.neonscience.org/field-sites/como
D05,CRAM,Crampton Lake NEON,Core Aquatic,Lake,,University of Notre Dame,https://underc.nd.edu/underc-west/research-opportunities/,Yes,"UNDERC encourages research; subject to evaluation based on potential for scientific advancement, impact on the site, and consistency and compatibility with other designated, non-research, uses of the property.",Domain 05 Support Facility,46.209675,-89.473688,WGS84,5120489.547,308836.941,16N,Vilas,WI,USA,509,,,4.3,794,,,Woody Wetlands,,[h04020102](https://water.usgs.gov/lookup/getwatershed?04020102),Ontonagon,0.6,4.6,19,,WIAgn;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.CRAM.DP1.20002),,https://www.neonscience.org/field-sites/cram
D06,MCDI,McDiffett Creek NEON,Gradient Aquatic,Wadeable Stream,,"The Nature Conservancy, Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,The Nature Conservancy and Konza Prairie Biological Station (KSU) welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,38.945861,-96.443022,WGS84,4313704.71,721693.8516,14N,Wabaunsee,KS,USA,396,,,12.2,921,,,Cultivated Crops|Grassland/Herbaceous,,[h10270102](https://water.usgs.gov/lookup/getwatershed?10270102),Middle Kansas,22.6,,,,KSPc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.MCDI.DP1.20002),,https://www.neonscience.org/field-sites/mcdi
D02,POSE,Posey Creek NEON,Core Aquatic,Wadeable Stream,SCBI,Smithsonian Institution,,,,Domain 02 Support Facility,38.89431,-78.147258,WGS84,4308808.691,747457.7533,17N,Warren,VA,USA,276,,,11.8,1090,,,Deciduous Forest,,[h02070005](https://water.usgs.gov/lookup/getwatershed?02070005),South Fork Shenandoah,2,,,,VACAZc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.POSE.DP1.20002),,https://www.neonscience.org/field-sites/pose
